index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales predictions
484348,230,0,12/30/2013,1327,1,0,0,1,13055.17
194089,826,0,12/2/2013,1170,1,1,0,0,12328.6
328888,975,1,7/30/2013,767,1,1,0,1,8316.74
485880,602,1,10/28/2014,547,1,0,0,1,5067.85
699868,953,4,9/19/2014,553,1,1,0,0,5417.16
265929,187,5,11/2/2013,491,1,0,0,0,4541.73
154648,792,4,10/18/2013,599,1,0,0,0,5240.57
376328,1035,3,11/27/2014,744,1,1,0,0,6209.685
530275,523,2,7/29/2015,1515,1,1,0,1,12997.01
441109,723,3,4/4/2013,461,1,0,0,1,4844.61
26050,1025,6,5/26/2013,0,0,0,0,0,0
247671,18,6,1/4/2015,0,0,0,0,0,0
615467,997,2,9/3/2014,378,1,1,0,1,5056.57
267972,400,5,10/5/2013,805,1,0,0,0,5717.34
22318,1047,1,7/9/2013,491,1,0,0,0,4222.36
430083,819,0,9/2/2013,472,1,0,0,0,4712.47
510014,668,0,6/2/2014,1562,1,1,0,0,12997.7
343803,585,3,1/22/2015,666,1,0,0,0,4180.83
85161,99,0,3/10/2014,404,1,0,0,0,3879.68
505852,965,5,11/22/2014,847,1,0,0,0,7970.41
266131,590,3,2/21/2013,376,1,1,0,0,5015.19
397091,709,1,6/2/2015,1682,1,1,0,0,13036.44
112013,58,6,10/20/2013,0,0,0,0,0,0
492019,409,6,2/9/2014,0,0,0,0,0,0
73240,850,5,4/4/2015,826,1,0,0,0,7368.59
203948,1058,2,3/6/2013,737,1,1,0,0,8103.22
603210,1067,6,4/13/2014,0,0,0,0,0,0
82813,777,0,4/21/2014,0,0,0,1,1,0
634511,155,2,5/21/2014,632,1,1,0,0,7378.17
28171,598,0,6/29/2015,871,1,1,0,0,7207.51
198571,493,1,7/1/2014,902,1,1,0,0,9882.85
70073,628,6,8/3/2014,0,0,0,0,1,0
551321,524,0,12/30/2013,1193,1,0,0,1,11852.48
509286,966,3,4/4/2013,585,1,0,0,1,4400.41
24413,1022,4,12/27/2013,791,1,0,0,1,6539.08
367168,380,2,3/5/2014,1720,1,1,0,0,18484.64
103724,132,2,1/14/2015,579,1,1,0,0,6424.99
704886,400,4,6/26/2015,999,1,0,0,0,6764.78
568270,988,3,8/29/2013,790,1,1,0,0,5756.75
627934,906,1,3/19/2013,1476,1,1,0,0,13685.69
520091,1028,1,11/5/2013,689,1,1,0,0,6819.68
505933,1100,5,3/23/2013,484,1,0,0,0,4256.9
67603,759,0,1/14/2013,607,1,0,0,0,5167.92
96570,223,0,10/27/2014,716,1,0,0,0,6274.16
696883,936,6,3/15/2015,0,0,0,0,0,0
216455,780,5,7/11/2015,341,1,0,0,0,2826.63
472114,259,4,11/28/2014,2677,1,1,0,0,13000.83
437836,131,5,11/9/2013,582,1,0,0,0,5469.15
467331,251,2,1/28/2015,2241,1,1,0,0,18375.24
423483,1079,5,1/17/2015,517,1,0,0,0,6204.9
533535,1003,2,3/5/2014,1029,1,1,0,0,9841.59
82465,980,3,9/5/2013,450,1,0,0,0,5109.09
245480,654,1,1/27/2015,766,1,1,0,0,7691.78
155723,966,3,7/25/2013,517,1,0,0,1,4056.85
167485,1020,0,9/22/2014,929,1,0,0,0,7337.29
574217,969,2,3/19/2014,610,1,1,0,0,4026.09
307718,1038,1,4/7/2015,490,1,0,0,1,5012.71
250666,516,2,7/9/2014,453,1,0,0,1,4300.11
233447,733,0,1/14/2013,3171,1,0,0,0,14075.9
9408,595,5,5/31/2014,1881,1,0,0,0,15490.77
532318,260,2,7/16/2014,962,1,1,0,1,9054.85
213221,768,5,2/2/2013,1251,1,0,0,0,10710.38
149118,940,0,1/14/2013,627,1,0,0,0,5451.58
643815,364,3,6/27/2013,563,1,0,0,0,4168.99
205464,506,2,7/22/2015,763,1,0,0,1,6065.58
172737,671,2,5/29/2013,507,1,1,0,1,5687.69
358803,300,5,1/24/2015,862,1,0,0,0,6526.66
432064,84,1,6/17/2014,1563,1,1,0,0,16294.63
243176,219,3,5/7/2015,455,1,1,0,0,3551.21
165487,934,4,3/22/2013,764,1,1,0,0,7112.85
206630,125,2,4/1/2015,1906,1,1,0,1,15586.87
380228,176,2,12/4/2013,757,1,1,0,0,9194.49
278339,223,1,11/26/2013,675,1,0,0,0,5879.92
125602,326,0,7/14/2014,429,1,1,0,0,5600.45
707930,339,1,8/27/2013,745,1,1,0,0,5832.66
647013,872,2,4/8/2015,659,1,0,0,1,6264.49
404917,579,6,11/23/2014,0,0,0,0,0,0
607690,974,4,2/28/2014,1599,1,0,0,0,11184.27
63394,979,6,4/12/2015,0,0,0,0,0,0
334403,880,2,6/4/2014,806,1,1,0,0,7731.9
440195,910,6,3/31/2013,0,0,0,0,0,0
87636,1084,5,7/4/2015,614,1,0,0,0,4986.62
189540,92,4,6/12/2015,453,1,0,0,0,4371.82
18218,14,5,6/20/2015,402,1,0,0,0,3416.45
396021,587,0,12/30/2013,960,1,0,0,1,9595.86
442052,230,3,10/24/2013,856,1,1,0,0,7584.61
397202,689,5,3/15/2014,589,1,0,0,0,5778.77
251121,599,0,5/13/2013,1096,1,1,0,0,12600
463013,596,6,12/22/2013,0,0,0,0,0,0
655331,576,0,3/11/2013,749,1,0,0,0,4649.78
327407,141,3,6/26/2014,493,1,0,0,0,3883.84
355157,751,0,4/21/2014,0,0,0,1,1,0
654124,877,4,3/1/2013,925,1,0,0,0,7455.51
602473,375,1,4/23/2013,948,1,1,0,0,11424.4
414480,230,0,12/8/2014,988,1,0,0,0,7973.48
574764,545,2,1/22/2014,1087,1,1,0,0,12031.43
136740,1022,0,3/4/2013,1093,1,1,0,0,11208.36
240843,597,2,8/20/2014,756,1,1,0,1,5584.25
130323,559,6,6/8/2014,0,0,0,0,0,0
688030,1024,5,7/18/2015,825,1,0,0,0,6491.24
43133,36,1,3/17/2015,1205,1,1,0,0,10974.03
172856,702,1,5/28/2013,351,1,1,0,1,4381.74
446048,623,6,2/10/2013,0,0,0,0,0,0
36534,105,3,10/17/2013,483,1,0,0,0,4360.9259999999995
612801,902,1,11/19/2013,648,1,1,0,0,5656.08
256750,11,5,4/11/2015,786,1,0,0,0,5916.27
623446,1039,4,6/28/2013,629,1,0,0,0,5727.85
63314,102,0,2/16/2015,1174,1,1,0,0,10848.8
238452,543,4,10/18/2013,175,1,0,0,1,1682.21
43919,827,3,1/2/2014,1910,1,0,0,1,14148.58
258378,110,2,10/8/2014,647,1,1,0,0,5731.78
59774,945,0,1/5/2015,698,1,1,0,1,6831.77
31637,582,2,3/12/2014,749,1,0,0,0,5288.21
673741,554,3,1/16/2014,428,1,0,0,0,3726.59
659942,486,1,7/8/2014,384,1,0,0,1,3729.79
349639,637,5,2/15/2014,520,1,0,0,0,6256.49
394865,806,4,1/31/2014,578,1,0,0,0,5941.87
255648,887,5,6/21/2014,462,1,0,0,0,4980.81
379128,374,5,4/4/2015,668,1,0,0,0,7023.83
540897,1025,4,1/4/2013,804,1,0,0,1,6890.98
662220,638,1,8/6/2013,431,1,0,0,1,4845.13
160268,123,5,5/9/2015,490,1,0,0,0,4555.23
654290,905,3,2/19/2015,1108,1,1,0,0,7576.51
599039,536,4,4/5/2013,989,1,0,0,1,8883.006
651027,763,6,2/1/2015,0,0,0,0,0,0
553569,191,5,8/10/2013,694,1,0,0,0,7287.65
271750,957,3,2/20/2014,948,1,1,0,0,8962.77
709864,268,3,6/4/2015,618,1,1,0,0,5335.11
300796,654,5,9/7/2013,266,1,0,0,0,2577.2
413674,612,5,9/7/2013,388,1,0,0,0,3593.77
8402,747,2,8/27/2014,567,1,0,0,1,5776.04
310059,656,5,5/18/2013,380,1,0,0,0,3299.71
319105,368,4,4/5/2013,592,1,0,0,1,6718.92
689752,959,2,9/18/2013,552,1,0,0,0,4320.57
516276,329,1,2/3/2015,708,1,1,0,0,8173.3296666666665
338342,97,2,7/22/2015,535,1,0,0,1,4875.85
666229,314,1,8/13/2013,661,1,1,0,1,6989.78
8353,463,6,1/11/2015,0,0,0,0,0,0
386012,258,0,5/20/2013,0,0,0,1,0,0
471619,283,2,11/13/2013,621,1,0,0,0,5766.48
612347,556,0,4/15/2013,754,1,0,0,0,5676.53
514445,388,4,1/24/2014,1211,1,1,0,0,11333.16
396179,67,2,9/3/2014,837,1,1,0,1,8332.76
590638,725,4,1/16/2015,677,1,1,0,0,6548.5
683448,219,3,6/6/2013,416,1,1,0,0,3303.72
218062,1077,1,2/10/2015,479,1,0,0,0,3656.93
706606,322,3,5/23/2013,589,1,0,0,0,5482.68
453487,814,2,2/20/2013,581,1,1,0,1,6129.24
240904,134,6,6/30/2013,0,0,0,0,0,0
326681,54,3,7/11/2013,657,1,0,0,0,6884.65
272937,662,4,4/26/2013,854,1,1,0,0,9367.161666666667
11415,126,6,4/19/2015,0,0,0,0,0,0
436957,1001,5,11/30/2013,471,1,0,0,0,4610.4
171033,657,3,2/13/2014,598,1,0,0,0,4710.0575
632521,590,3,3/14/2013,319,1,0,0,0,3677.51
179002,193,2,12/25/2013,0,0,0,1,1,0
345971,168,5,9/21/2013,465,1,0,0,0,4484.2
463457,16,0,7/22/2013,839,1,0,0,0,6879.936666666667
674866,244,0,2/4/2013,738,1,1,0,0,8170.3
479231,545,6,2/8/2015,0,0,0,0,0,0
369184,1032,5,1/19/2013,492,1,0,0,0,4621.76
564608,290,4,5/31/2013,987,1,1,0,0,9801.85
421305,548,3,1/24/2013,335,1,1,0,0,4071.93
312789,733,0,8/4/2014,3508,1,1,0,1,16742.26
548456,654,3,6/6/2013,716,1,1,0,0,6958.64
195259,272,5,5/4/2013,377,1,0,0,0,3815.2
669573,1017,2,3/20/2013,1176,1,1,0,0,8645.79
599293,708,1,5/20/2014,462,1,1,0,0,4840.69
33900,819,3,1/8/2015,454,1,1,0,0,5547.04
74619,99,2,6/26/2013,372,1,0,0,0,3759.45
284898,982,1,12/10/2013,710,1,0,0,0,6647.92
402135,683,4,4/3/2015,0,0,1,1,1,0
447277,194,2,10/16/2013,373,1,0,0,0,3975.86
588164,853,1,6/30/2015,1201,1,1,0,0,11309.38
456931,53,0,4/28/2014,650,1,1,0,1,7628.1
221701,281,3,2/7/2013,508,1,1,0,0,5820.505833333333
535271,101,1,9/2/2014,879,1,1,0,0,8937.93
171677,440,4,6/5/2015,769,1,1,0,1,7888.03
226127,994,1,3/18/2014,435,1,1,0,0,4874.28
414979,168,1,7/30/2013,930,1,1,0,1,9434.44
500051,48,6,10/27/2013,0,0,0,0,0,0
329177,652,5,2/15/2014,501,1,0,0,0,4421.91
541113,934,5,1/11/2014,474,1,0,0,0,4495.173333333333
124681,223,5,3/29/2014,589,1,0,0,0,5578.115
284177,378,4,12/26/2014,0,0,0,1,1,0
90749,865,2,7/17/2013,624,1,1,0,0,8292.43
237894,466,4,1/31/2014,861,1,0,0,0,6553
506152,789,4,2/14/2014,546,1,0,0,0,4595.46
622882,61,6,6/7/2015,0,0,0,0,0,0
34430,765,3,12/19/2013,1068,1,1,0,0,12143.02
268594,673,0,2/23/2015,500,1,0,0,0,5482.39
368485,258,2,6/25/2014,444,1,0,0,0,4603.48
602478,740,2,10/8/2014,499,1,1,0,0,6562.06
202788,1080,0,9/16/2013,764,1,0,0,0,8246.28
675955,918,4,6/20/2014,661,1,1,0,0,6159.3
611958,857,5,6/22/2013,1004,1,0,0,0,8220.27
597571,837,0,7/1/2013,482,1,1,0,0,4010.94
317074,516,6,3/1/2015,0,0,0,0,0,0
380943,446,1,5/27/2014,505,1,0,0,0,4045.35
649251,835,3,5/30/2013,0,0,1,1,0,0
386136,140,6,2/3/2013,0,0,0,0,0,0
411910,207,2,8/14/2013,1584,1,1,0,0,14960.43
119756,961,3,1/29/2015,668,1,1,0,0,6058.486666666667
251963,772,1,3/18/2014,507,1,1,0,0,4099.97
292719,1089,1,9/2/2014,1050,1,1,0,0,11096.7
77065,521,2,3/5/2014,421,1,1,0,0,5536.5
206967,823,4,1/17/2014,600,1,0,0,0,5761.85
521339,436,5,9/14/2013,426,1,0,0,0,3484.75
363365,483,6,3/9/2014,0,0,0,0,0,0
481077,215,1,3/25/2014,333,1,0,0,0,3955.11
711386,109,4,5/29/2015,802,1,0,0,0,7555.57
66970,858,0,12/16/2013,590,1,1,0,0,6822.94
435729,425,3,3/5/2015,501,1,1,0,0,3988.54
426284,357,4,7/24/2015,905,1,0,0,1,6807
435236,255,0,2/2/2015,575,1,1,0,0,7151.88
199039,798,5,2/7/2015,343,1,0,0,0,3064.2
99250,366,5,3/23/2013,304,1,0,0,0,2932.805
580140,534,1,4/7/2015,510,1,0,0,1,5092.42
254820,179,4,6/20/2014,1176,1,1,0,0,10291.76
155130,258,1,9/3/2013,464,1,0,0,1,4633.935
503682,693,4,8/29/2014,384,1,0,0,1,4009.53
288534,999,3,10/24/2013,685,1,1,0,1,8608.13
67050,834,5,4/19/2014,492,1,0,0,0,5256.49
174771,512,3,10/31/2013,1410,1,0,0,1,5750.92
442288,818,1,4/23/2013,662,1,1,0,0,6693.1
606734,534,5,10/12/2013,606,1,0,0,0,5973.82
431156,1084,1,12/17/2013,1099,1,1,0,0,11483.06
424121,34,1,3/10/2015,861,1,0,0,0,6082.84
557753,101,3,3/27/2014,686,1,0,0,0,5910.09
520831,187,0,3/2/2015,885,1,1,0,0,8692.998
376589,20,0,9/23/2013,1041,1,1,0,0,9936.73
7670,828,6,10/26/2014,0,0,0,0,0,0
303546,434,0,8/12/2013,823,1,1,0,1,10934.96
236740,738,0,5/4/2015,864,1,1,0,0,11407.21
145734,351,4,3/7/2014,569,1,1,0,0,6408.960999999999
134420,1020,3,1/30/2014,905,1,0,0,0,6510.61
691699,86,6,8/11/2013,0,0,0,0,0,0
233889,266,2,6/17/2015,573,1,1,0,0,4800.63
653554,608,4,6/20/2014,1024,1,1,0,0,10612.23
481046,708,4,2/21/2014,493,1,1,0,1,4915.34
423103,734,2,2/5/2014,605,1,1,0,0,6356.47
693486,776,6,6/7/2015,0,0,0,0,0,0
90193,1060,1,4/9/2013,853,1,1,0,0,7739.19
119482,182,1,4/29/2014,507,1,1,0,0,6990.41
525167,542,2,1/16/2013,431,1,0,0,0,4986.39
239754,602,0,5/6/2013,610,1,0,0,0,5637.87
332806,101,3,11/7/2013,777,1,1,0,0,7308.62
142056,784,6,6/30/2013,0,0,0,0,0,0
673000,679,6,11/17/2013,0,0,0,0,0,0
567353,535,3,8/14/2014,793,1,0,0,1,6571.83
696641,844,3,2/6/2014,516,1,1,0,0,4732.83
628766,595,6,5/24/2015,0,0,0,0,0,0
544695,25,5,3/30/2013,1831,1,0,0,0,13084.73
652921,416,2,12/3/2014,1819,1,1,0,0,15649.35
436682,539,3,1/22/2015,966,1,0,0,0,8868.25
158580,77,2,8/28/2013,642,1,1,0,0,7456.4
184394,641,1,7/9/2013,493,1,0,0,0,4453.78
523534,445,5,1/10/2015,1201,1,0,0,0,7995.94
133026,318,4,5/3/2013,822,1,1,0,0,8346.07
296285,394,2,11/13/2013,539,1,0,0,0,6006.09
14477,761,4,2/7/2014,1014,1,1,0,1,9042.55
130799,706,1,7/28/2015,578,1,1,0,0,6749.34
17306,41,4,2/28/2014,433,1,0,0,0,5769.98
617975,894,0,7/7/2014,958,1,0,0,1,7511.97
668657,169,5,5/3/2014,801,1,0,0,0,7681.0455
460228,1012,0,6/9/2014,0,0,0,1,0,0
26534,310,3,8/29/2013,868,1,1,0,0,9364.66
8504,1003,2,1/22/2014,847,1,1,0,0,7304.33
253700,970,2,8/28/2013,429,1,1,0,0,4057.27
586553,239,4,9/27/2013,627,1,1,0,0,6819.55
463307,998,0,3/16/2015,647,1,1,0,0,6588.66
245670,278,4,6/14/2013,692,1,0,0,0,6508.62
291128,49,1,5/26/2015,539,1,0,0,1,6790.73
615053,603,2,8/28/2013,0,0,1,0,1,0
263461,658,1,4/30/2013,824,1,1,0,0,7215.51
42414,1072,2,2/6/2013,786,1,1,0,0,8638.94
527688,1028,1,10/22/2013,587,1,1,0,1,6044.5
697845,288,3,6/18/2015,489,1,1,0,0,6293.59
28136,111,0,3/30/2015,838,1,1,0,1,8298.24
245444,581,1,7/14/2015,703,1,1,0,0,7450.06
394116,979,6,5/12/2013,0,0,0,0,0,0
601504,644,6,2/22/2015,0,0,0,0,0,0
349857,589,0,6/3/2013,577,1,1,0,0,7842.15
658989,295,1,2/25/2014,619,1,0,0,0,4399.88
73913,388,0,2/18/2013,1586,1,1,0,0,16038.4
579219,9,5,10/4/2014,621,1,0,0,0,6693.74
628094,445,3,8/29/2013,1381,1,1,0,1,9297.35
430442,204,3,9/5/2013,445,1,0,0,1,4695.06
694123,296,0,10/6/2014,1011,1,1,0,0,10170.44
637678,497,6,5/24/2015,0,0,0,0,0,0
697006,481,0,2/18/2013,523,1,1,0,0,6338.83
174454,1100,5,12/6/2014,569,1,0,0,0,6444.95
290329,588,5,12/14/2013,614,1,0,0,0,5965.6
79977,290,1,1/7/2014,918,1,1,0,1,9027.4
561228,1107,3,5/28/2015,635,1,0,0,1,5744.36
645402,1019,5,1/25/2014,820,1,0,0,0,7383.38
187053,945,4,1/17/2014,545,1,0,0,0,4651.7
545699,770,6,10/26/2014,0,0,0,0,0,0
101633,1041,3,8/15/2013,0,0,1,1,1,0
281213,433,2,7/31/2013,898,1,1,0,1,9159.76
303302,190,1,11/19/2013,738,1,1,0,0,8490.91
358148,843,2,7/29/2015,962,1,1,0,1,9210.07
686634,937,2,3/27/2013,689,1,1,0,1,8354.53
66159,333,6,6/9/2013,0,0,0,0,0,0
668588,302,2,10/1/2014,337,1,1,0,0,3993.16
